Block_No,Date,Rep,Year,Point,Blockyrreppt,Blockdaterepobs,ObsNo,Hr,Min,FMLast,Species,Period,No_gt_1,Behav,Dist,Identity,Total_10,Exact_distance,MODIFIED,Access BlockYrRepPtID,Access Observer Code,Comments,New species codes
32597,6/15/2017,,2017,24,,,,3,26,ZMPohlen,SCJU,3,1,S,50,,,50,,,,,
32597,6/15/2017,,2017,24,,,,3,26,ZMPohlen,SCJU,3,1,S,90,,,90,,,,,
32597,6/15/2017,,2017,24,,,,3,26,ZMPohlen,SWTH,3,1,S,70,,,70,,,,,
32597,6/15/2017,,2017,24,,,,3,26,ZMPohlen,SCJU,3,1,S,90,,,90,,,,,
32597,6/15/2017,,2017,24,,,,3,26,ZMPohlen,LISP,3,1,S,150,,,150,,,,,
32597,6/15/2017,,2017,24,,,,3,26,ZMPohlen,WCSP,3,1,S,150,,,150,,,,,
32597,6/15/2017,,2017,24,,,,3,26,ZMPohlen,LISP,3,1,S,151,,,200,,,,,
32597,6/15/2017,,2017,24,,,,3,26,ZMPohlen,WISN,3,1,FD,151,,,200,,,,,
32597,6/15/2017,,2017,24,,,,3,26,ZMPohlen,LEYE,3,1,FD,151,,,300,,,,,
32597,6/15/2017,,2017,24,,,,3,26,ZMPohlen,ALFL,3,1,S,151,,,250,,,,,
32597,6/15/2017,,2017,24,,,,3,26,ZMPohlen,WCSP,3,1,S,151,,,200,,,,,
32597,6/15/2017,,2017,24,,,,3,26,ZMPohlen,SWTH,3,1,S,90,,,90,,,,,
32597,6/15/2017,,2017,24,,,,3,26,ZMPohlen,SCJU,5,1,S,150,,,150,,,,,
32597,6/15/2017,,2017,24,,,,3,26,ZMPohlen,WISN,8,1,S,150,,,150,,,,,
32597,6/15/2017,,2017,24,,,,3,26,ZMPohlen,CAGO,10,1,C,401,,,>400,,,,,
32597,6/15/2017,,2017,25,,,,4,30,ZMPohlen,LISP,3,1,S,125,,,125,,,,,
32597,6/15/2017,,2017,25,,,,4,30,ZMPohlen,ALFL,3,1,S,100,,,100,,,,,
32597,6/15/2017,,2017,25,,,,4,30,ZMPohlen,WCSP,3,1,S,100,,,100,,,,,
32597,6/15/2017,,2017,25,,,,4,30,ZMPohlen,SAVS,3,1,S,30,,,30,,,,,
32597,6/15/2017,,2017,25,,,,4,30,ZMPohlen,WISN,3,1,S,60,,,60,,,,,
