common_name,code
Great Egret,
Intermediate Egret,
Chinese Egret,
Cattle Egret,
Chinese Pond-Heron,
Black-crowned Night-Heron,
White-faced Ibis,
Turkey Vulture,TUVU
Osprey,OSPR
Golden Eagle,GOEA
Hen Harrier,
Northern Harrier,NOHA
Sharp-shinned Hawk,SSHA
Cooper's Hawk,
Northern Goshawk,NOGO
Black Kite,
Bald Eagle,BAEA
White-tailed Eagle,
Steller's Sea-Eagle,
Swainson's Hawk,
Red-tailed Hawk,RTHA
Rough-legged Hawk,RLHA
Oriental Scops-Owl,
Flammulated Owl,
Western Screech-Owl,WESO
Great Horned Owl,GHOW
Snowy Owl,SNOW
Northern Hawk Owl,NHOW
Northern Pygmy-Owl,NOPO
Barred Owl,BAOW
Great Gray Owl,GGOW
Long-eared Owl,LEOW
Short-eared Owl,SEOW
Boreal Owl,BOOW
Northern Saw-whet Owl,SWOW
Northern Boobook,
Eurasian Hoopoe,
Belted Kingfisher,BEKI
Eurasian Wryneck,
Yellow-bellied Sapsucker,YBSA
Red-breasted Sapsucker,RBSA
Lewis's Woodpecker,LEWO
American Three-toed Woodpecker,ATTW
Black-backed Woodpecker,BBWO
Great Spotted Woodpecker,
Downy Woodpecker,DOWO
Hairy Woodpecker,HAWO
Northern Flicker,NOFL
American Kestrel,AMKE
Merlin,MERL
Eurasian Hobby,
Gyrfalcon,GYRF
Peregrine Falcon,PEFA
Olive-sided Flycatcher,OSFL
Western Wood-Pewee,WEWP
Yellow-bellied Flycatcher,YBFL
Alder Flycatcher,ALFL
Willow Flycatcher,WIFL
Least Flycatcher,LEFL
Hammond's Flycatcher,HAFL
Dusky Flycatcher,DUFL
Pacific-slope Flycatcher,PSFL
Eastern Phoebe,EAPH
Say's Phoebe,SAPH
Ash-throated Flycatcher,ATFL
Great Crested Flycatcher,GCFL
Tropical Kingbird,TRKI
Western Kingbird,WEKI
Eastern Kingbird,EAKI
Scissor-tailed Flycatcher,STFL
Red-backed Shrike,
Brown Shrike,
Northern Shrike,NSHR
Cassin's Vireo,CAVI
Blue-headed Vireo,BHVI
Philadelphia Vireo,PHVI
Warbling Vireo,WAVI
Red-eyed Vireo,REVI
Canada Jay,CAJA
Steller's Jay,STJA
Black-billed Magpie,BBMA
Clark's Nutcracker,
American Crow,AMCR
Northwestern Crow,NOCR
Common Raven,CORA
Horned Lark,HOLA
Eurasian Skylark,
Northern Rough-winged Swallow,
Purple Martin,PUMA
Tree Swallow,TRSW
Violet-green Swallow,VGSW
Bank Swallow,BANS
Barn Swallow,BARS
Cliff Swallow,CLSW
Common House-Martin,
Black-capped Chickadee,BCCH
Mountain Chickadee,MOCH
